type,date,url,text,user,user_url,user_location,followers,following,account_creation_date,tweet_likes,quotes,retweets,country,antisemitic_post,non_antisemitic_post
tweet,2023-04-16 15:15:51+00:00,https://twitter.com/WeArePalestine3/status/1647619823705153537,We Are Palestine! https://t.co/iKBFWdnTKD,WeArePalestine3,https://x.com/WeArePalestine3,Ramallah,7155,3728,2023-02-21,3838,32,1244,Palestine,False,True
tweet,2023-04-12 17:41:21+00:00,https://twitter.com/Sprinterfactory/status/1646206886901956622,"Thousands of people took part in a mass rally in Detroit city, US in solidarity with Palestine. https://t.co/T0M16BGXYM",Sprinterfactory,https://x.com/Sprinterfactory, 💞💞💞,548778,958,2019-05-14,10240,189,4889,Unknown,False,True
tweet,2023-04-29 20:30:55+00:00,https://twitter.com/Bsonja5/status/1652410153948307457,"#Apartheidisrael  silencing journalists 
Occupied Palestine 🇵🇸🇵🇸🇵🇸 https://t.co/27CNxTh0cs",Bsonja5,https://x.com/Bsonja5,Unknown,8411,529,2012-05-11,1212,88,1459,Unknown,True,False
tweet,2023-04-11 16:33:14+00:00,https://twitter.com/KCPayTreeIt/status/1645827358455103496,"A list of Joe Biden’s trips he has taken since the chemical disaster in East Palestine. 🤬

From East Palestine, myself, and all Patriot loving American’s you continue to put last, we say 🖕🏽@POTUS you’re disgrace! #FJB https://t.co/DnrlPTJz4B",KCPayTreeIt,https://x.com/KCPayTreeIt,KC,53166,17445,2022-07-07,1182,31,759,Unknown,False,True
tweet,2023-04-06 22:45:10+00:00,https://twitter.com/imMAK02/status/1644109015721320448,"This is Gaza right now. Victims are not blue-eyed Europeans, so it's not considered terrorism in Western world.

#Gaza #GazaUnderAttack #Palestine 

https://t.co/QLmMY4c1Gz",imMAK02,https://x.com/imMAK02,India,93489,155,2011-04-09,3909,87,2374,India,False,True
tweet,2023-04-29 21:37:32+00:00,https://twitter.com/Bsonja5/status/1652426917977497603,"#Israeli occupation soldiers and group of settlers severely and brutally beat a young man from the Jaber family after the settlers attacked the residents of Jaber neighborhood, where the so-called illegal settlement of Kiryat Arba is located in the city of hebron. #Palestine https://t.co/g3EPEgPP3m",Bsonja5,https://x.com/Bsonja5,Unknown,8411,529,2012-05-11,1249,131,1597,Unknown,False,True
tweet,2023-04-06 01:24:50+00:00,https://twitter.com/ShadiiSpeaks/status/1643786812593405952,"""An Apple fell and Newton discovered the law of gravity.
Thousands of  palestine  fall and still no one discovered the law of humanity."" https://t.co/bt0C9uJa5v",ShadiiSpeaks,https://x.com/ShadiiSpeaks,"Islamabad, Pakistan",2705,4,2020-02-07,3917,31,1040,Pakistan,False,True
tweet,2023-04-11 17:18:24+00:00,https://twitter.com/FredericKanoute/status/1645838721244069893,Apartheid is real. Palestine will be free 🇵🇸 #FreePalestine https://t.co/Fyzg8aZHBz,FredericKanoute,https://x.com/FredericKanoute,"London, United Kingdom",240256,290,2010-03-14,9363,61,1843,United Kingdom,True,False
tweet,2023-04-24 04:17:47+00:00,https://twitter.com/sorkincel/status/1650353316738760704,This is the kind of conspiracy I miss. Not all this q-anon east palestine shit Im talking shit that makes no fucking sense,sorkincel,https://x.com/sorkincel,1993,2473,1391,2020-09-23,50619,29,3916,Unknown,False,True
tweet,2023-04-02 17:45:37+00:00,https://twitter.com/karineomar143/status/1642584082444845057,"She knew what she was doing. 

American Jewish Actress and recipient of multiple accolades, including an Academy Award and two Golden Globe Awards, Natalie Portman criticized apartheid israel and said: “israel’s nation-state law is racist.” (The Palestine Project)

“Natalie Portman has spoken out about Palestinian rights on more than one occasion, she also turned down an israeli apartheid award, dubbed israel’s Nobels, in light of the israeli apartheid army's shooting of Palestinian protesters demanding the right of return in Gaza.

She pulled out of the Genesis Prize ceremony, saying that she could not ""in good conscience"" attend the ceremony.” (Middle East Eye)

انتقدت الممثلة اليهودية الامريكية ناتالي بورتمان نظام الفصل العنصري في اسرائيل وقالت ""قانون الدولة القومية في اسرائيل عنصري",karineomar143,https://x.com/karineomar143,"Michigan, USA",8891,6408,2011-01-11,9033,158,1728,United States of America,False,True
