Unnamed: 0.1,Unnamed: 0,type,date,url,text,user,user_url,user_location,followers,following,account_creation_date,tweet_likes,quotes,retweets,antisemitic_post,non_antisemitic_post,country
0,0,tweet,2023-10-23 10:00:02+00:00,https://twitter.com/ShaykhSulaiman/status/1716394037408670104,EXTREME CENSORSHIP - THESE SAME PEOPLE CRIED WHEN THERE WAS CENSORSHIP DURING COVID\n\nNow they are happy that people are losing jobs.\n\nZionism is fascism https://t.co/chvaqmcGHO,ShaykhSulaiman,https://x.com/ShaykhSulaiman,UK,466037,433,23/03/2013,4286,51,1477,TRUE,FALSE,United Kingdom
1,1,tweet,2023-11-05 00:26:21+00:00,https://twitter.com/blackintheempir/status/1720960708672696509,Zionism is racism and fascism on steroids,blackintheempir,https://x.com/blackintheempir,"Baltimore, MD",166044,22735,27/12/2017,2287,6,749,TRUE,FALSE,United States of America
2,2,tweet,2023-10-15 23:41:26+00:00,https://twitter.com/dancohen3000/status/1713701648801882551,Israeli “terrrorism expert” calls to carpet bomb Gaza to kill Israeli hostages and Palestinians for the “good of the state.”\n\nZionism is fascism. \n\nhttps://t.co/kvSnAXQWhe https://t.co/rHzVXa1juH,dancohen3000,https://x.com/dancohen3000,"Washington, DC",326535,2627,06/10/2011,748,33,406,TRUE,FALSE,United States of America
3,3,tweet,2023-11-04 04:58:06+00:00,https://twitter.com/meganshead/status/1720666709852373285,"Dear everyone who is frightened about rising anti semitism. The best way to fight against it is to show you are against the brutal apartheid state of Israel, not support it out of fear. #Zionism_is_Fascism #ZionismIsNotJudaism",meganshead,https://x.com/meganshead,Cape Town,7647,2199,21/03/2009,315,7,97,TRUE,FALSE,South Africa
4,4,tweet,2023-10-27 23:46:41+00:00,https://twitter.com/NimaTavRood/status/1718051622746542469,“Why are you pro-Palestine when you’re an atheist?”\n\nExactly Because I’m a socialist. This isn’t a religious problem this is a colonialism & fascism problem:\nDo you support fascism or do you like the free people from Glasgow to Melbourne & back.\nZionism = fascism,NimaTavRood,https://x.com/NimaTavRood,Unknown,17184,4891,10/10/2013,165,3,25,FALSE,TRUE,Unknown
5,5,tweet,2023-10-29 16:06:09+00:00,https://twitter.com/classicsgroyp/status/1718660501251518938,The counter Zionist sphere is  connecting Israel to Hitler (it's uncomfortable to call out the Jews) but the reality is: a dictator from 1930s Europe is not the ultimate evil. The people against Christ are. We need to stop dissing Hitler/Holocaust. History is as fake as the news\n\nMore Nick Fuentes on https://t.co/Hxj56g1Vqh and https://t.co/Oic0u8drVc,classicsgroyp,https://x.com/classicsgroyp,cozy.tv/nick,44581,629,01/07/2023,1154,21,295,TRUE,FALSE,Unknown
6,6,tweet,2023-10-31 22:51:07+00:00,https://twitter.com/ME_Observer_/status/1719487190864965975,All dentists are saying it's fake.\n\nWtf is this ? \n\nThey're trying to recreate the holocaust 😂 https://t.co/gWUWdNPhRP,ME_Observer_,https://x.com/ME_Observer_,Unknown,123429,905,24/11/2010,469,7,151,FALSE,TRUE,Unknown
7,7,tweet,2023-10-11 11:17:24+00:00,https://twitter.com/jimstewartson/status/1712064855296110707,The world deserves to hear from @IsraeliPM @netanyahu about why he lied to the Israeli people about the worst atrocities against Jews since the Holocaust.\n\nWhy did he lie & say the clear warnings he got about the attack ten days ahead of time were “fake news” & “propaganda?” https://t.co/IvWNdmrlpo,jimstewartson,https://x.com/jimstewartson,"Los Angeles, CA",113014,3030,22/02/2011,833,29,377,FALSE,TRUE,United States of America
8,8,tweet,2023-10-15 13:04:07+00:00,https://twitter.com/KeithWoodsYT/status/1713541259648753748,Israel thinks it can shame us into allowing them to lie to the world by invoking the Holocaust.\n\nThe 40 beheaded babies story Israel told the world was FAKE! But Israel is currently starving and bombing children in Gaza.\n\nThese people have no moral high ground.,KeithWoodsYT,https://x.com/KeithWoodsYT,Ireland,176380,295,03/07/2019,6812,47,1471,TRUE,FALSE,Ireland
9,9,tweet,2023-10-22 14:53:31+00:00,https://twitter.com/ViralNewsNYC/status/1716105507813900714,"The hate for Jewish people has become blatantly obvious over these past 2 weeks. Jewish babies were being Buchered, and people tried to say it wasn't true . Everything was fake to the jew haters . The worst attack on jews since the holocaust happened and people tried to erase it . \nRemember those people who did that. And hold them accountable anytime you see them. Don't let them off of the hook.",ViralNewsNYC,https://x.com/ViralNewsNYC,"New York, NY",105911,5966,25/01/2022,641,6,160,TRUE,FALSE,United States of America
10,10,tweet,2023-10-23 03:22:46+00:00,https://twitter.com/BenBankas/status/1716294064335733235,People saying Gaza is a genocide also believe the Holocaust was fake…,BenBankas,https://x.com/BenBankas,Canada,29548,163,08/12/2010,115,9,15,FALSE,TRUE,Canada
11,11,tweet,2023-10-16 08:26:12+00:00,https://twitter.com/theurigeller/status/1713833711525892398,"Friends, it is hard to believe but some people are claiming these atrocities didn't happen, that it is fake, AI, whatever. This is the same as Holocaust denial and deplorable. Do not fall for antisemitic lies. Hamas STREAMED the attacks, filmed them and happily posted them themselves, proud of what they did. Even the Nazis tried to cover up their crimes, but Hamas wants the world to see! #IsraelGazaWar #hamasiISIS #HamasAttackOnIsrael #HamasTerrorism",theurigeller,https://x.com/theurigeller,"Old Jaffa, Israel",53906,111,10/05/2009,295,10,53,FALSE,TRUE,Israel
12,12,tweet,2023-10-21 01:16:01+00:00,https://twitter.com/jjacobs22/status/1715537388808659162,"I’m a Jewish person who isn’t very practicing & doesn’t have much connection to Israel, but holy shit was this a tough and eye opening week. \n\nThe worst acts of violence since the Holocaust & all the fake wokey wokes can muster is ‘they had it coming’?\n\nI’m incredibly sad & concerned for innocent civilians on all sides, but Hamas is terrorist org & must be stopped. \n\nI stand with Israel. 🇮🇱",jjacobs22,https://x.com/jjacobs22,"Boston, MA",19747,6861,21/05/2008,653,2,59,FALSE,TRUE,United States of America
13,13,tweet,2023-10-25 21:47:35+00:00,https://twitter.com/DrAnnaPirates/status/1717296873466183786,"Guys, Hinkle is inciting hate crimes against Jews by posting fake videos of Israelis skinning babies. It’s straight from Protocols of Elders of Zion hoax used in Holocaust. And Musk is not stopping it. Hinkle works for Russia, so this is state Nazi propaganda 🤬",DrAnnaPirates,https://x.com/DrAnnaPirates,Ukraine,13163,1172,05/01/2023,1024,7,262,TRUE,FALSE,Ukraine
14,14,tweet,2023-10-22 22:03:22+00:00,https://twitter.com/HowardA_AtLaw/status/1716213681812287954,"Whenever there is a conflict in Israel Jewish Americans see which leaders would allow another Holocaust. \n\nThe Squad, Elizabeth Warren, we see you. \n\nGOP, with your fake support as you cheer nazis, we see you. \n\nPresident Biden, VP Harris, thank you for standing with us",HowardA_AtLaw,https://x.com/HowardA_AtLaw,"New York, USA",42220,1108,12/10/2017,207,0,67,FALSE,TRUE,United States of America
15,15,tweet,2023-10-15 16:19:13+00:00,https://twitter.com/goddeketal/status/1713590358754439326,"@Israel Condemning propaganda and fake news is a two-way street. Jackson simply called you out for fabricating evidence, and it's his damn right to do so.\n\nThe fact that you immediately bring up the Holocaust to justify your propaganda says everything about you.\n\nBest,\nA Hamas Detractor",goddeketal,https://x.com/goddeketal,my written articles →,680342,488,03/02/2020,749,1,46,FALSE,TRUE,Unknown
16,16,tweet,2023-10-11 12:52:34+00:00,https://twitter.com/RachelRileyRR/status/1712088803442061451,"I’m angry that I felt I had to look to find these images that will be forever burned in my memory but, akin to Holocaust deniers, there are many posting memes and proclaiming ‘fake’ or ‘debunked’ without any link to a source.\n\nThe next post is from the official @Israel account.",RachelRileyRR,https://x.com/RachelRileyRR,Unknown,686039,1837,13/09/2010,240,13,18,FALSE,TRUE,Unknown
17,17,tweet,2023-10-29 05:24:53+00:00,https://twitter.com/TorahJudaism/status/1718499120648687753,"Zionism is Nazism.\n\nThe Zionist state of Israel is today's Nazi state.\n\nZionists are today's Nazis.\n\nZionism, the Zionist state and Zionists are genocidal and murderous.\n\nZionism is the enemy of both Jews and Muslims.\n\nJews are never responsible for the actions of Zionism, the state of Israel and the Zionists.",TorahJudaism,https://x.com/TorahJudaism,Unknown,252076,837,07/12/2022,17808,1110,11791,TRUE,FALSE,Unknown
18,18,tweet,2023-10-23 12:59:36+00:00,https://twitter.com/TorahJudaism/status/1716439229180383370,"In Mea Shearim, the anti-Zionist Jewish neighborhood in Jerusalem, Jews are under constant attack. Israel turned the neighborhood into a Nazi ghetto.\n\nIsrael is not a safe haven for Jews. Zionists are constantly targeting Jews. Jews are trying to live a life under oppression and violence in Israel.\n\nZionists are the Nazis of today's world.\n\nJews are never Zionists.",TorahJudaism,https://x.com/TorahJudaism,Unknown,252076,837,07/12/2022,5795,487,4412,FALSE,TRUE,Unknown
19,19,tweet,2023-10-07 14:45:33+00:00,https://twitter.com/angeloinchina/status/1710667684432810302,"Why this is happening in Israel today ???\n\nSimply because the collective West closed an eye on this racist apartheid regime.\nIsraeli are doing to Arabs what Jews were enduring during WW2 against Nazi, nothing less.\n\nRoles have been reversed, Israeli behaving like Nazis against Palestinians today.\n\nInconvenient truths.",angeloinchina,https://x.com/angeloinchina,Hong Kong,199209,5947,17/07/2020,7654,251,3305,TRUE,FALSE,Hong Kong
20,20,tweet,2023-10-25 17:24:57+00:00,https://twitter.com/StopAntisemites/status/1717230780751950164,NYU happening now - students are spotted holding up a Nazi era antisemitic signs wanting to rid the world of the Jews.\n\nWe have no words. https://t.co/Asg9PKGCrE,StopAntisemites,https://x.com/StopAntisemites,NYC,299435,1415,05/10/2018,14711,865,5534,TRUE,FALSE,United States of America
21,21,tweet,2023-10-27 20:08:06+00:00,https://twitter.com/MOSSADil/status/1717996614697046514,"We are welcoming Shabbat. If you're a Jew and or Israeli Jew you'll see the amazing unity. \n\nTo our brothers and sisters: historically, we always survived and thrived even more after a pogrom; war and tragedy. \n\nWe will win. We will defeat the enemy, the new Nazi Hamas and Jews will thrive again. \n\nStay strong, stay united!!!\n\nShabbat Shalom! 🇮🇱",MOSSADil,https://x.com/MOSSADil,"Jerusalem, IL",302943,6,27/07/2016,1256,8,268,FALSE,TRUE,Israel
22,22,tweet,2023-11-01 15:41:48+00:00,https://twitter.com/BladeoftheS/status/1719741536202641698,"Rachel Riley casually compares peaceful protestors, who are protesting against genocide, with Nazi's who sent Jews to concentration camps.  \n\nAmong the protestors were Jews against Genocide.   \n\nAnyway she deleted it, must have been too extreme even for her. https://t.co/CHBAfzsOBP",BladeoftheS,https://x.com/BladeoftheS,Ragnarök ,157357,148679,03/11/2021,2699,38,992,TRUE,FALSE,Unknown
23,23,tweet,2023-10-14 06:34:12+00:00,https://twitter.com/sweetcarolinatv/status/1713080746980577539,UCLA students chanting death to Jews. . Seriously why are American Jews giving a penny to the Democrat Nazi party?  https://t.co/HI5UkLy1t8,sweetcarolinatv,https://x.com/sweetcarolinatv,Space Coast Fl ,38032,5891,26/04/2022,158,9,82,TRUE,FALSE,United States of America
24,24,tweet,2023-10-23 18:32:55+00:00,https://twitter.com/ImtiazMadmood/status/1716523111795867816,"Quran and Hadith are Mohammed's Mein Kampf\n\nQuran calls Jews apes and pigs. Only the choice of animals differs from the Nazi language; they preferred rats and vermin.\n\nIslam goes further, ""Kill them wherever you find them"" referring to Jews, Christians, pagans, and nonbelievers.",ImtiazMadmood,https://x.com/ImtiazMadmood,"Leicester, England",225214,6592,06/11/2017,1069,22,506,TRUE,FALSE,United Kingdom
25,25,tweet,2023-10-11 14:21:24+00:00,https://twitter.com/Americanmama44/status/1712111159753454076,Let’s get this straight BLM is supporting Palestine and the majority hate Jews … like Nazi’s did but the conservatives are the racist ? 😂😂😂okay dokie #Patriots https://t.co/O27cJIuShA,Americanmama44,https://x.com/Americanmama44,"Ohio, USA",23459,16471,21/08/2021,632,9,126,TRUE,FALSE,United States of America
26,26,tweet,2023-10-09 10:13:46+00:00,https://twitter.com/MrsRoyKeaneo/status/1711324065435206112,"I've ""lost"" followers this morning due to supporting #Palestine.  The Palestinian people are the victims here. Not Israel.  Their treatment of the Palestinian people is akin to nazi Germanys' treatment of the Jews, yet the world watches and allows.\n\nEvery action has a reaction. https://t.co/nskR3OuUMU",MrsRoyKeaneo,https://x.com/MrsRoyKeaneo,Unknown,5073,3865,09/04/2023,1453,20,248,FALSE,TRUE,Unknown
27,27,tweet,2023-10-11 09:33:00+00:00,https://twitter.com/200__zoka/status/1712038580556636527,"Strong nazi vibes. Hamas saying that they need to exterminate all the jews. Not just in Israel, but on all planet.\nThey really are terrorists. And people who support them, supports terrorism, supports mindset of nazis! https://t.co/aFjkzz2z6Y",200__zoka,https://x.com/200__zoka,Bosnia and Herzegovina,5607,93,22/08/2023,468,35,142,TRUE,FALSE,Bosnia and Herzegovina
28,28,tweet,2023-11-01 19:27:03+00:00,https://twitter.com/UncorruptedMen/status/1719798224934899771,"They oppress the Orthodox Jews.\n\nThey oppress The Palestinian Muslims.\n\nThey oppress The Palestinian Christians.\n\nAnd they cry out loud to the rest of the world: \n\n""We are the victims.""\n\n- Israel the Zionist Nazi state.\n\n#DismantleIsrael #PalestineHolocaust https://t.co/zLBDdQKf0s",UncorruptedMen,https://x.com/UncorruptedMen,The Battlefield,38892,247,23/04/2023,1691,92,840,TRUE,FALSE,Unknown
