,title,date,link,year,month,country
0,UK – Jewish man abused on London Tube,2024-04-17,https://antisemitism.org.il/2024/03/11/uk-jewish-man-abused-on-london-tube/,2024.0,4.0,UK
1,Canada – Pro-Palestinian protesters prevent attendees from entering Israel speaking tour event,2024-04-17,https://antisemitism.org.il/2024/03/06/canada-pro-palestinian-protesters-prevent-attendees-from-entering-israel-speaking-tour-event/,2024.0,4.0,Canada
2,UK – Newly elected British MP Galloway equates Israel-Hamas war to Holocaust,2024-04-17,https://antisemitism.org.il/2024/03/06/uk-newly-elected-british-mp-galloway-equates-israel-hamas-war-to-holocaust/,2024.0,4.0,UK
3,Switzerland – Israel flag set on fire in front of a synagogue in Basel,2024-04-17,https://antisemitism.org.il/2024/03/04/switzerland-israel-flag-set-on-fire-in-front-of-a-synagogue-in-basel/,2024.0,4.0,Switzerland
4,Italy – A billboard with antisemitic message in Florence,2024-04-17,https://antisemitism.org.il/2024/03/04/italy-a-billboard-with-antisemitic-message-in-florence/,2024.0,4.0,Italy
5,Switzerland – Orthodox Jewish man stabbed in Zurich,2024-04-17,https://antisemitism.org.il/2024/03/03/switzerland-orthodox-jewish-man-stabbed-in-zurich/,2024.0,4.0,Switzerland
6,France – 62-year-old man beaten and insulted after leaving synagogue,2024-04-17,https://antisemitism.org.il/2024/03/02/france-62-year-old-man-beaten-and-insulted-after-leaving-synagogue/,2024.0,4.0,France
7,Tunisia – Attack abandoned synagogue in Tunisia Sfax,2024-04-17,https://antisemitism.org.il/2024/03/01/tunisia-attack-abandoned-synagogue-in-tunisia-sfax/,2024.0,4.0,Tunisia
8,"USA – Mercer Island synagogue desecrated with anti-Israel, antisemitic graffiti",2024-04-17,https://antisemitism.org.il/2024/02/29/usa-mercer-island-synagogue-desecrated-with-anti-israel-antisemitic-graffiti/,2024.0,4.0,USA
9,Australia – Prominent pro-Hamas activist arrested on kidnapping and torture charges,2024-04-17,https://antisemitism.org.il/2024/02/29/australia-prominent-pro-hamas-activist-arrested-on-kidnapping-and-torture-charges/,2024.0,4.0,Australia
10,Germany – Antisemitic attack in front of a synagogue in Munich,2024-04-17,https://antisemitism.org.il/2024/02/28/germany-antisemitic-attack-in-front-of-a-synagogue-in-munich/,2024.0,4.0,Germany
11,Germany – Swastikas at the Jewish cemetery in Templin,2024-04-17,https://antisemitism.org.il/2024/02/23/germany-swastikas-at-the-jewish-cemetery-in-templin/,2024.0,4.0,Germany
12,Germany – Jewish memorial column in Babenhausen smeared with paint,2024-04-17,https://antisemitism.org.il/2024/02/23/germany-jewish-memorial-column-in-babenhausen-smeared-with-paint/,2024.0,4.0,Germany
13,Germany – Masked men attack men in Dresden,2024-04-17,https://antisemitism.org.il/2024/02/23/germany-masked-men-attack-men-in-dresden/,2024.0,4.0,Germany
14,UK – ‘From the river to the sea’ is projected onto Big Ben,2024-04-17,https://antisemitism.org.il/2024/02/22/uk-from-the-river-to-the-sea-is-projected-onto-big-ben/,2024.0,4.0,UK
15,Austria – Holocaust memorial stones splattered with paint in Vienna,2024-04-17,https://antisemitism.org.il/2024/02/22/austria-holocaust-memorial-stones-splattered-with-paint-in-vienna/,2024.0,4.0,Austria
16,"USA – Swastikas, Star of David found drawn in the snow outside Jewish family’s home in Carmel, IN",2024-04-17,https://antisemitism.org.il/2024/02/20/usa-swastikas-star-of-david-found-drawn-in-the-snow-outside-jewish-familys-home-in-carmel-in/,2024.0,4.0,USA
17,UK – Statue of Jewish singer Amy Winehouse is vandalized with Palestinian symbol,2024-04-17,https://antisemitism.org.il/2024/02/20/uk-statue-of-jewish-singer-amy-winehouse-is-vandalized-with-palestinian-symbol/,2024.0,4.0,UK
18,Spain – Antisemitic illustration in El Mundo,2024-04-17,https://antisemitism.org.il/2024/02/19/spain-antisemitic-illustration-in-el-mundo/,2024.0,4.0,Spain
